Breed,Trait,Trait_Score
Xoloitzcuintli,Coat Grooming Frequency,1
Xoloitzcuintli,Drooling Level,1
Xoloitzcuintli,Coat Type,Hairless
Xoloitzcuintli,Coat Length,Short
Xoloitzcuintli,Openness To Strangers,3
Xoloitzcuintli,Playfulness Level,4
Xoloitzcuintli,Watchdog/Protective Nature,3
Xoloitzcuintli,Adaptability Level,4
Xoloitzcuintli,Trainability Level,4
Xoloitzcuintli,Energy Level,4
Xoloitzcuintli,Barking Level,3
Xoloitzcuintli,Mental Stimulation Needs,4
Manchester Terriers,Affectionate With Family,5
Manchester Terriers,Good With Young Children,4
Manchester Terriers,Good With Other Dogs,3
Manchester Terriers,Shedding Level,2
Manchester Terriers,Coat Grooming Frequency,2
Manchester Terriers,Drooling Level,1
Manchester Terriers,Coat Type,Smooth
Manchester Terriers,Coat Length,Short
Manchester Terriers,Openness To Strangers,3
Manchester Terriers,Playfulness Level,4
Manchester Terriers,Watchdog/Protective Nature,4
Manchester Terriers,Adaptability Level,4
Manchester Terriers,Trainability Level,4
Manchester Terriers,Energy Level,4
Manchester Terriers,Barking Level,4
Manchester Terriers,Mental Stimulation Needs,3
Kerry Blue Terriers,Affectionate With Family,5
Kerry Blue Terriers,Good With Young Children,4
Kerry Blue Terriers,Good With Other Dogs,2
Kerry Blue Terriers,Shedding Level,1
Kerry Blue Terriers,Coat Grooming Frequency,3
Kerry Blue Terriers,Drooling Level,2
Kerry Blue Terriers,Coat Type,Wavy
Kerry Blue Terriers,Coat Length,Medium
Kerry Blue Terriers,Openness To Strangers,3
Kerry Blue Terriers,Playfulness Level,3
Kerry Blue Terriers,Watchdog/Protective Nature,5
Kerry Blue Terriers,Adaptability Level,3
Kerry Blue Terriers,Trainability Level,3
Kerry Blue Terriers,Energy Level,4
Kerry Blue Terriers,Barking Level,4
Kerry Blue Terriers,Mental Stimulation Needs,4
Australian Terriers,Affectionate With Family,3
Australian Terriers,Good With Young Children,5
Australian Terriers,Good With Other Dogs,3
Australian Terriers,Shedding Level,1
Australian Terriers,Coat Grooming Frequency,2
Australian Terriers,Drooling Level,1
Australian Terriers,Coat Type,Wiry
Australian Terriers,Coat Length,Short
Australian Terriers,Openness To Strangers,3
Australian Terriers,Playfulness Level,4
Australian Terriers,Watchdog/Protective Nature,4
Australian Terriers,Adaptability Level,3
Australian Terriers,Trainability Level,4
Australian Terriers,Energy Level,4
Australian Terriers,Barking Level,5
Australian Terriers,Mental Stimulation Needs,4
Spaniels (Clumber),Affectionate With Family,4
Spaniels (Clumber),Good With Young Children,3
Spaniels (Clumber),Good With Other Dogs,3
Spaniels (Clumber),Shedding Level,3
Spaniels (Clumber),Coat Grooming Frequency,2
Spaniels (Clumber),Drooling Level,4
Spaniels (Clumber),Coat Type,Wavy
Spaniels (Clumber),Coat Length,Medium
Spaniels (Clumber),Openness To Strangers,4
Spaniels (Clumber),Playfulness Level,3
Spaniels (Clumber),Watchdog/Protective Nature,3
Spaniels (Clumber),Adaptability Level,4
Spaniels (Clumber),Trainability Level,4
Spaniels (Clumber),Energy Level,3
Spaniels (Clumber),Barking Level,1
Spaniels (Clumber),Mental Stimulation Needs,3
Lakeland Terriers,Affectionate With Family,5
Lakeland Terriers,Good With Young Children,3
Lakeland Terriers,Good With Other Dogs,3
Lakeland Terriers,Shedding Level,2
Lakeland Terriers,Coat Grooming Frequency,2
Lakeland Terriers,Drooling Level,1
Lakeland Terriers,Coat Type,Wiry
Lakeland Terriers,Coat Length,Short
Lakeland Terriers,Openness To Strangers,3
Lakeland Terriers,Playfulness Level,4
Lakeland Terriers,Watchdog/Protective Nature,3
Lakeland Terriers,Adaptability Level,4
Lakeland Terriers,Trainability Level,3
Lakeland Terriers,Energy Level,3
Lakeland Terriers,Barking Level,3
Lakeland Terriers,Mental Stimulation Needs,4
Bluetick Coonhounds,Affectionate With Family,3
Bluetick Coonhounds,Good With Young Children,3
Bluetick Coonhounds,Good With Other Dogs,5
Bluetick Coonhounds,Shedding Level,3
Bluetick Coonhounds,Coat Grooming Frequency,2
Bluetick Coonhounds,Drooling Level,2
Bluetick Coonhounds,Coat Type,Smooth
Bluetick Coonhounds,Coat Length,Short
Bluetick Coonhounds,Openness To Strangers,3
Bluetick Coonhounds,Playfulness Level,3
Bluetick Coonhounds,Watchdog/Protective Nature,2
Bluetick Coonhounds,Adaptability Level,3
Bluetick Coonhounds,Trainability Level,4
Bluetick Coonhounds,Energy Level,4
Bluetick Coonhounds,Barking Level,4
Bluetick Coonhounds,Mental Stimulation Needs,3
English Toy Spaniels,Affectionate With Family,5
English Toy Spaniels,Good With Young Children,5
English Toy Spaniels,Good With Other Dogs,5
English Toy Spaniels,Shedding Level,3
English Toy Spaniels,Coat Grooming Frequency,3
English Toy Spaniels,Drooling Level,2
English Toy Spaniels,Coat Type,Double
English Toy Spaniels,Coat Length,Medium
English Toy Spaniels,Openness To Strangers,3
English Toy Spaniels,Playfulness Level,4
English Toy Spaniels,Watchdog/Protective Nature,3
English Toy Spaniels,Adaptability Level,4
English Toy Spaniels,Trainability Level,3
English Toy Spaniels,Energy Level,3
English Toy Spaniels,Barking Level,2
English Toy Spaniels,Mental Stimulation Needs,3
German Pinschers,Affectionate With Family,5
German Pinschers,Good With Young Children,3
German Pinschers,Good With Other Dogs,3
German Pinschers,Shedding Level,3
German Pinschers,Coat Grooming Frequency,1
German Pinschers,Drooling Level,1
German Pinschers,Coat Type,Smooth
German Pinschers,Coat Length,Short
German Pinschers,Openness To Strangers,3
German Pinschers,Playfulness Level,4
German Pinschers,Watchdog/Protective Nature,4
German Pinschers,Adaptability Level,3
German Pinschers,Trainability Level,5
German Pinschers,Energy Level,5
German Pinschers,Barking Level,3
German Pinschers,Mental Stimulation Needs,4
Tibetan Mastiffs,Affectionate With Family,4
Tibetan Mastiffs,Good With Young Children,3
Tibetan Mastiffs,Good With Other Dogs,3
Tibetan Mastiffs,Shedding Level,4
Tibetan Mastiffs,Coat Grooming Frequency,3
Tibetan Mastiffs,Drooling Level,3
Tibetan Mastiffs,Coat Type,Double
Tibetan Mastiffs,Coat Length,Medium
Tibetan Mastiffs,Openness To Strangers,1
Tibetan Mastiffs,Playfulness Level,3
Tibetan Mastiffs,Watchdog/Protective Nature,5
Tibetan Mastiffs,Adaptability Level,3
Tibetan Mastiffs,Trainability Level,3
Tibetan Mastiffs,Energy Level,3
Tibetan Mastiffs,Barking Level,3
Tibetan Mastiffs,Mental Stimulation Needs,4
Bedlington Terriers,Affectionate With Family,3
Bedlington Terriers,Good With Young Children,3
Bedlington Terriers,Good With Other Dogs,3
Bedlington Terriers,Shedding Level,1
Bedlington Terriers,Coat Grooming Frequency,3
Bedlington Terriers,Drooling Level,1
Bedlington Terriers,Coat Type,Curly
Bedlington Terriers,Coat Length,Medium
Bedlington Terriers,Openness To Strangers,3
Bedlington Terriers,Playfulness Level,3
Bedlington Terriers,Watchdog/Protective Nature,4
Bedlington Terriers,Adaptability Level,3
Bedlington Terriers,Trainability Level,3
Bedlington Terriers,Energy Level,4
Bedlington Terriers,Barking Level,3
Bedlington Terriers,Mental Stimulation Needs,3
Greyhounds,Affectionate With Family,4
Greyhounds,Good With Young Children,3
Greyhounds,Good With Other Dogs,4
Greyhounds,Shedding Level,2
Greyhounds,Coat Grooming Frequency,1
Greyhounds,Drooling Level,1
Greyhounds,Coat Type,Smooth
Greyhounds,Coat Length,Short
Greyhounds,Openness To Strangers,3
Greyhounds,Playfulness Level,3
Greyhounds,Watchdog/Protective Nature,3
Greyhounds,Adaptability Level,4
Greyhounds,Trainability Level,3
Greyhounds,Energy Level,4
Greyhounds,Barking Level,3
Greyhounds,Mental Stimulation Needs,3
Pulik,Affectionate With Family,5
Pulik,Good With Young Children,3
Pulik,Good With Other Dogs,3
Pulik,Shedding Level,1
Pulik,Coat Grooming Frequency,5
Pulik,Drooling Level,2
Pulik,Coat Type,Corded
Pulik,Coat Length,Long
Pulik,Openness To Strangers,3
Pulik,Playfulness Level,3
Pulik,Watchdog/Protective Nature,5
Pulik,Adaptability Level,4
Pulik,Trainability Level,5
Pulik,Energy Level,3
Pulik,Barking Level,3
Pulik,Mental Stimulation Needs,5
Salukis,Affectionate With Family,5
Salukis,Good With Young Children,3
Salukis,Good With Other Dogs,3
Salukis,Shedding Level,2
Salukis,Coat Grooming Frequency,1
Salukis,Drooling Level,1
Salukis,Coat Type,Smooth
Salukis,Coat Length,Short
Salukis,Openness To Strangers,3
Salukis,Playfulness Level,3
Salukis,Watchdog/Protective Nature,1
Salukis,Adaptability Level,3
Salukis,Trainability Level,3
Salukis,Energy Level,4
Salukis,Barking Level,3
Salukis,Mental Stimulation Needs,5
Barbets,Affectionate With Family,4
Barbets,Good With Young Children,5
Barbets,Good With Other Dogs,5
Barbets,Shedding Level,1
Barbets,Coat Grooming Frequency,3
Barbets,Drooling Level,1
Barbets,Coat Type,Curly
Barbets,Coat Length,Medium
Barbets,Openness To Strangers,3
Barbets,Playfulness Level,3
Barbets,Watchdog/Protective Nature,3
Barbets,Adaptability Level,3
Barbets,Trainability Level,4
Barbets,Energy Level,3
Barbets,Barking Level,3
Barbets,Mental Stimulation Needs,3
Redbone Coonhounds,Affectionate With Family,5
Redbone Coonhounds,Good With Young Children,5
Redbone Coonhounds,Good With Other Dogs,5
Redbone Coonhounds,Shedding Level,3
Redbone Coonhounds,Coat Grooming Frequency,2
Redbone Coonhounds,Drooling Level,3
Redbone Coonhounds,Coat Type,Smooth
Redbone Coonhounds,Coat Length,Short
Redbone Coonhounds,Openness To Strangers,3
Redbone Coonhounds,Playfulness Level,3
Redbone Coonhounds,Watchdog/Protective Nature,3
Redbone Coonhounds,Adaptability Level,4
Redbone Coonhounds,Trainability Level,3
Redbone Coonhounds,Energy Level,3
Redbone Coonhounds,Barking Level,4
Redbone Coonhounds,Mental Stimulation Needs,4
Swedish Vallhunds,Affectionate With Family,5
Swedish Vallhunds,Good With Young Children,5
Swedish Vallhunds,Good With Other Dogs,3
Swedish Vallhunds,Shedding Level,4
Swedish Vallhunds,Coat Grooming Frequency,2
Swedish Vallhunds,Drooling Level,2
Swedish Vallhunds,Coat Type,Double
Swedish Vallhunds,Coat Length,Short
Swedish Vallhunds,Openness To Strangers,3
Swedish Vallhunds,Playfulness Level,4
Swedish Vallhunds,Watchdog/Protective Nature,3
Swedish Vallhunds,Adaptability Level,4
Swedish Vallhunds,Trainability Level,4
Swedish Vallhunds,Energy Level,4
Swedish Vallhunds,Barking Level,3
Swedish Vallhunds,Mental Stimulation Needs,4
Sealyham Terriers,Affectionate With Family,5
Sealyham Terriers,Good With Young Children,3
Sealyham Terriers,Good With Other Dogs,3
Sealyham Terriers,Shedding Level,3
Sealyham Terriers,Coat Grooming Frequency,3
Sealyham Terriers,Drooling Level,1
Sealyham Terriers,Coat Type,Wiry
Sealyham Terriers,Coat Length,Medium
Sealyham Terriers,Openness To Strangers,4
Sealyham Terriers,Playfulness Level,3
Sealyham Terriers,Watchdog/Protective Nature,5
Sealyham Terriers,Adaptability Level,4
Sealyham Terriers,Trainability Level,4
Sealyham Terriers,Energy Level,3
Sealyham Terriers,Barking Level,4
Sealyham Terriers,Mental Stimulation Needs,4
Spanish Water Dogs,Affectionate With Family,5
Spanish Water Dogs,Good With Young Children,4
Spanish Water Dogs,Good With Other Dogs,3
Spanish Water Dogs,Shedding Level,1
Spanish Water Dogs,Coat Grooming Frequency,4
Spanish Water Dogs,Drooling Level,2
Spanish Water Dogs,Coat Type,Corded
Spanish Water Dogs,Coat Length,Medium
Spanish Water Dogs,Openness To Strangers,3
Spanish Water Dogs,Playfulness Level,4
Spanish Water Dogs,Watchdog/Protective Nature,3
Spanish Water Dogs,Adaptability Level,3
Spanish Water Dogs,Trainability Level,4
Spanish Water Dogs,Energy Level,4
Spanish Water Dogs,Barking Level,3
Spanish Water Dogs,Mental Stimulation Needs,5
Briards,Affectionate With Family,3
Briards,Good With Young Children,3
Briards,Good With Other Dogs,3
Briards,Shedding Level,1
Briards,Coat Grooming Frequency,4
Briards,Drooling Level,2
Briards,Coat Type,Double
Briards,Coat Length,Long
Briards,Openness To Strangers,3
Briards,Playfulness Level,3
Briards,Watchdog/Protective Nature,4
Briards,Adaptability Level,3
Briards,Trainability Level,3
Briards,Energy Level,3
Briards,Barking Level,1
Briards,Mental Stimulation Needs,3
Berger Picards,Affectionate With Family,3
Berger Picards,Good With Young Children,3
Berger Picards,Good With Other Dogs,3
Berger Picards,Shedding Level,3
Berger Picards,Coat Grooming Frequency,1
Berger Picards,Drooling Level,1
Berger Picards,Coat Type,Wiry
Berger Picards,Coat Length,Medium
Berger Picards,Openness To Strangers,3
Berger Picards,Playfulness Level,3
Berger Picards,Watchdog/Protective Nature,4
Berger Picards,Adaptability Level,3
Berger Picards,Trainability Level,4
Berger Picards,Energy Level,4
Berger Picards,Barking Level,2
Berger Picards,Mental Stimulation Needs,4
Entlebucher Mountain Dogs,Affectionate With Family,5
Entlebucher Mountain Dogs,Good With Young Children,3
Entlebucher Mountain Dogs,Good With Other Dogs,5
Entlebucher Mountain Dogs,Shedding Level,3
Entlebucher Mountain Dogs,Coat Grooming Frequency,1
Entlebucher Mountain Dogs,Drooling Level,2
Entlebucher Mountain Dogs,Coat Type,Smooth
Entlebucher Mountain Dogs,Coat Length,Short
Entlebucher Mountain Dogs,Openness To Strangers,3
Entlebucher Mountain Dogs,Playfulness Level,3
Entlebucher Mountain Dogs,Watchdog/Protective Nature,5
Entlebucher Mountain Dogs,Adaptability Level,4
Entlebucher Mountain Dogs,Trainability Level,3
Entlebucher Mountain Dogs,Energy Level,5
Entlebucher Mountain Dogs,Barking Level,3
Entlebucher Mountain Dogs,Mental Stimulation Needs,4
Treeing Walker Coonhounds,Affectionate With Family,5
Treeing Walker Coonhounds,Good With Young Children,5
Treeing Walker Coonhounds,Good With Other Dogs,5
Treeing Walker Coonhounds,Shedding Level,3
Treeing Walker Coonhounds,Coat Grooming Frequency,1
Treeing Walker Coonhounds,Drooling Level,3
Treeing Walker Coonhounds,Coat Type,Smooth
Treeing Walker Coonhounds,Coat Length,Short
Treeing Walker Coonhounds,Openness To Strangers,3
Treeing Walker Coonhounds,Playfulness Level,4
Treeing Walker Coonhounds,Watchdog/Protective Nature,3
Treeing Walker Coonhounds,Adaptability Level,4
Treeing Walker Coonhounds,Trainability Level,5
Treeing Walker Coonhounds,Energy Level,5
Treeing Walker Coonhounds,Barking Level,4
Treeing Walker Coonhounds,Mental Stimulation Needs,5
Icelandic Sheepdogs,Affectionate With Family,5
Icelandic Sheepdogs,Good With Young Children,5
Icelandic Sheepdogs,Good With Other Dogs,4
Icelandic Sheepdogs,Shedding Level,3
Icelandic Sheepdogs,Coat Grooming Frequency,2
Icelandic Sheepdogs,Drooling Level,2
Icelandic Sheepdogs,Coat Type,Double
Icelandic Sheepdogs,Coat Length,Medium
Icelandic Sheepdogs,Openness To Strangers,3
Icelandic Sheepdogs,Playfulness Level,3
Icelandic Sheepdogs,Watchdog/Protective Nature,4
Icelandic Sheepdogs,Adaptability Level,4
Icelandic Sheepdogs,Trainability Level,5
Icelandic Sheepdogs,Energy Level,4
Icelandic Sheepdogs,Barking Level,4
Icelandic Sheepdogs,Mental Stimulation Needs,5
Wirehaired Vizslas,Affectionate With Family,5
Wirehaired Vizslas,Good With Young Children,5
Wirehaired Vizslas,Good With Other Dogs,3
Wirehaired Vizslas,Shedding Level,3
Wirehaired Vizslas,Coat Grooming Frequency,1
Wirehaired Vizslas,Drooling Level,2
Wirehaired Vizslas,Coat Type,Wiry
Wirehaired Vizslas,Coat Length,Short
Wirehaired Vizslas,Openness To Strangers,5
Wirehaired Vizslas,Playfulness Level,5
Wirehaired Vizslas,Watchdog/Protective Nature,3
Wirehaired Vizslas,Adaptability Level,4
Wirehaired Vizslas,Trainability Level,5
Wirehaired Vizslas,Energy Level,5
Wirehaired Vizslas,Barking Level,3
Wirehaired Vizslas,Mental Stimulation Needs,5
Pumik,Affectionate With Family,5
Pumik,Good With Young Children,3
Pumik,Good With Other Dogs,3
Pumik,Shedding Level,1
Pumik,Coat Grooming Frequency,2
Pumik,Drooling Level,2
Pumik,Coat Type,Curly
Pumik,Coat Length,Medium
Pumik,Openness To Strangers,3
Pumik,Playfulness Level,4
Pumik,Watchdog/Protective Nature,4
Pumik,Adaptability Level,4
Pumik,Trainability Level,5
Pumik,Energy Level,5
Pumik,Barking Level,3
Pumik,Mental Stimulation Needs,5
Portuguese Podengo Pequenos,Affectionate With Family,5
Portuguese Podengo Pequenos,Good With Young Children,5
Portuguese Podengo Pequenos,Good With Other Dogs,5
Portuguese Podengo Pequenos,Shedding Level,3
Portuguese Podengo Pequenos,Coat Grooming Frequency,2
Portuguese Podengo Pequenos,Drooling Level,1
Portuguese Podengo Pequenos,Coat Type,Wiry
Portuguese Podengo Pequenos,Coat Length,Medium
Portuguese Podengo Pequenos,Openness To Strangers,3
Portuguese Podengo Pequenos,Playfulness Level,4
Portuguese Podengo Pequenos,Watchdog/Protective Nature,3
Portuguese Podengo Pequenos,Adaptability Level,4
Portuguese Podengo Pequenos,Trainability Level,3
Portuguese Podengo Pequenos,Energy Level,4
Portuguese Podengo Pequenos,Barking Level,3
Portuguese Podengo Pequenos,Mental Stimulation Needs,4
Spaniels (American Water),Affectionate With Family,3
Spaniels (American Water),Good With Young Children,3
Spaniels (American Water),Good With Other Dogs,3
Spaniels (American Water),Shedding Level,1
Spaniels (American Water),Coat Grooming Frequency,3
Spaniels (American Water),Drooling Level,1
Spaniels (American Water),Coat Type,Double
Spaniels (American Water),Coat Length,Medium
Spaniels (American Water),Openness To Strangers,3
Spaniels (American Water),Playfulness Level,3
Spaniels (American Water),Watchdog/Protective Nature,3
Spaniels (American Water),Adaptability Level,3
Spaniels (American Water),Trainability Level,5
Spaniels (American Water),Energy Level,3
Spaniels (American Water),Barking Level,3
Spaniels (American Water),Mental Stimulation Needs,3
Retrievers (Curly-Coated),Affectionate With Family,5
Retrievers (Curly-Coated),Good With Young Children,5
Retrievers (Curly-Coated),Good With Other Dogs,3
Retrievers (Curly-Coated),Shedding Level,2
Retrievers (Curly-Coated),Coat Grooming Frequency,1
Retrievers (Curly-Coated),Drooling Level,1
Retrievers (Curly-Coated),Coat Type,Double
Retrievers (Curly-Coated),Coat Length,Short
Retrievers (Curly-Coated),Openness To Strangers,3
Retrievers (Curly-Coated),Playfulness Level,4
Retrievers (Curly-Coated),Watchdog/Protective Nature,4
Retrievers (Curly-Coated),Adaptability Level,4
Retrievers (Curly-Coated),Trainability Level,4
Retrievers (Curly-Coated),Energy Level,4
Retrievers (Curly-Coated),Barking Level,3
Retrievers (Curly-Coated),Mental Stimulation Needs,3
Spaniels (Field),Affectionate With Family,5
Spaniels (Field),Good With Young Children,5
Spaniels (Field),Good With Other Dogs,4
Spaniels (Field),Shedding Level,3
Spaniels (Field),Coat Grooming Frequency,2
Spaniels (Field),Drooling Level,2
Spaniels (Field),Coat Type,Smooth
Spaniels (Field),Coat Length,Medium
Spaniels (Field),Openness To Strangers,4
Spaniels (Field),Playfulness Level,3
Spaniels (Field),Watchdog/Protective Nature,3
Spaniels (Field),Adaptability Level,4
Spaniels (Field),Trainability Level,5
Spaniels (Field),Energy Level,3
Spaniels (Field),Barking Level,3
Spaniels (Field),Mental Stimulation Needs,3
Lowchen,Affectionate With Family,5
Lowchen,Good With Young Children,5
Lowchen,Good With Other Dogs,3
Lowchen,Shedding Level,2
Lowchen,Coat Grooming Frequency,2
Lowchen,Drooling Level,1
Lowchen,Coat Type,Wavy
Lowchen,Coat Length,Long
Lowchen,Openness To Strangers,3
Lowchen,Playfulness Level,4
Lowchen,Watchdog/Protective Nature,4
Lowchen,Adaptability Level,4
Lowchen,Trainability Level,4
Lowchen,Energy Level,3
Lowchen,Barking Level,3
Lowchen,Mental Stimulation Needs,3
Nederlandse Kooikerhondjes,Affectionate With Family,5
Nederlandse Kooikerhondjes,Good With Young Children,3
Nederlandse Kooikerhondjes,Good With Other Dogs,3
Nederlandse Kooikerhondjes,Shedding Level,3
Nederlandse Kooikerhondjes,Coat Grooming Frequency,2
Nederlandse Kooikerhondjes,Drooling Level,2
Nederlandse Kooikerhondjes,Coat Type,Double
Nederlandse Kooikerhondjes,Coat Length,Medium
Nederlandse Kooikerhondjes,Openness To Strangers,4
Nederlandse Kooikerhondjes,Playfulness Level,3
Nederlandse Kooikerhondjes,Watchdog/Protective Nature,3
Nederlandse Kooikerhondjes,Adaptability Level,4
Nederlandse Kooikerhondjes,Trainability Level,5
Nederlandse Kooikerhondjes,Energy Level,4
Nederlandse Kooikerhondjes,Barking Level,3
Nederlandse Kooikerhondjes,Mental Stimulation Needs,4
Affenpinschers,Affectionate With Family,3
Affenpinschers,Good With Young Children,3
Affenpinschers,Good With Other Dogs,3
Affenpinschers,Shedding Level,3
Affenpinschers,Coat Grooming Frequency,3
Affenpinschers,Drooling Level,1
Affenpinschers,Coat Type,Wiry
Affenpinschers,Coat Length,Short
Affenpinschers,Openness To Strangers,5
Affenpinschers,Playfulness Level,3
Affenpinschers,Watchdog/Protective Nature,3
Affenpinschers,Adaptability Level,4
Affenpinschers,Trainability Level,3
Affenpinschers,Energy Level,3
Affenpinschers,Barking Level,3
Affenpinschers,Mental Stimulation Needs,3
Petits Bassets Griffons Vendeens,Affectionate With Family,4
Petits Bassets Griffons Vendeens,Good With Young Children,5
Petits Bassets Griffons Vendeens,Good With Other Dogs,5
Petits Bassets Griffons Vendeens,Shedding Level,2
Petits Bassets Griffons Vendeens,Coat Grooming Frequency,2
Petits Bassets Griffons Vendeens,Drooling Level,2
Petits Bassets Griffons Vendeens,Coat Type,Rough
Petits Bassets Griffons Vendeens,Coat Length,Long
Petits Bassets Griffons Vendeens,Openness To Strangers,4
Petits Bassets Griffons Vendeens,Playfulness Level,4
Petits Bassets Griffons Vendeens,Watchdog/Protective Nature,4
Petits Bassets Griffons Vendeens,Adaptability Level,4
Petits Bassets Griffons Vendeens,Trainability Level,3
Petits Bassets Griffons Vendeens,Energy Level,4
Petits Bassets Griffons Vendeens,Barking Level,5
Petits Bassets Griffons Vendeens,Mental Stimulation Needs,4
Finnish Lapphunds,Affectionate With Family,5
Finnish Lapphunds,Good With Young Children,4
Finnish Lapphunds,Good With Other Dogs,3
Finnish Lapphunds,Shedding Level,4
Finnish Lapphunds,Coat Grooming Frequency,2
Finnish Lapphunds,Drooling Level,2
Finnish Lapphunds,Coat Type,Double
Finnish Lapphunds,Coat Length,Medium
Finnish Lapphunds,Openness To Strangers,4
Finnish Lapphunds,Playfulness Level,3
Finnish Lapphunds,Watchdog/Protective Nature,3
Finnish Lapphunds,Adaptability Level,4
Finnish Lapphunds,Trainability Level,4
Finnish Lapphunds,Energy Level,3
Finnish Lapphunds,Barking Level,5
Finnish Lapphunds,Mental Stimulation Needs,3
Scottish Deerhounds,Affectionate With Family,5
Scottish Deerhounds,Good With Young Children,3
Scottish Deerhounds,Good With Other Dogs,5
Scottish Deerhounds,Shedding Level,3
Scottish Deerhounds,Coat Grooming Frequency,1
Scottish Deerhounds,Drooling Level,1
Scottish Deerhounds,Coat Type,Wiry
Scottish Deerhounds,Coat Length,Medium
Scottish Deerhounds,Openness To Strangers,3
Scottish Deerhounds,Playfulness Level,3
Scottish Deerhounds,Watchdog/Protective Nature,3
Scottish Deerhounds,Adaptability Level,3
Scottish Deerhounds,Trainability Level,3
Scottish Deerhounds,Energy Level,3
Scottish Deerhounds,Barking Level,1
Scottish Deerhounds,Mental Stimulation Needs,3
Plott Hounds,Affectionate With Family,5
Plott Hounds,Good With Young Children,3
Plott Hounds,Good With Other Dogs,5
Plott Hounds,Shedding Level,2
Plott Hounds,Coat Grooming Frequency,1
Plott Hounds,Drooling Level,2
Plott Hounds,Coat Type,Smooth
Plott Hounds,Coat Length,Short
Plott Hounds,Openness To Strangers,4
Plott Hounds,Playfulness Level,3
Plott Hounds,Watchdog/Protective Nature,4
Plott Hounds,Adaptability Level,4
Plott Hounds,Trainability Level,4
Plott Hounds,Energy Level,4
Plott Hounds,Barking Level,4
Plott Hounds,Mental Stimulation Needs,3
Norwegian Buhunds,Affectionate With Family,5
Norwegian Buhunds,Good With Young Children,3
Norwegian Buhunds,Good With Other Dogs,3
Norwegian Buhunds,Shedding Level,3
Norwegian Buhunds,Coat Grooming Frequency,2
Norwegian Buhunds,Drooling Level,1
Norwegian Buhunds,Coat Type,Double
Norwegian Buhunds,Coat Length,Medium
Norwegian Buhunds,Openness To Strangers,3
Norwegian Buhunds,Playfulness Level,3
Norwegian Buhunds,Watchdog/Protective Nature,4
Norwegian Buhunds,Adaptability Level,4
Norwegian Buhunds,Trainability Level,3
Norwegian Buhunds,Energy Level,4
Norwegian Buhunds,Barking Level,4
Norwegian Buhunds,Mental Stimulation Needs,4
Glen of Imaal Terriers,Affectionate With Family,5
Glen of Imaal Terriers,Good With Young Children,3
Glen of Imaal Terriers,Good With Other Dogs,3
Glen of Imaal Terriers,Shedding Level,2
Glen of Imaal Terriers,Coat Grooming Frequency,3
Glen of Imaal Terriers,Drooling Level,2
Glen of Imaal Terriers,Coat Type,Wiry
Glen of Imaal Terriers,Coat Length,Medium
Glen of Imaal Terriers,Openness To Strangers,3
Glen of Imaal Terriers,Playfulness Level,3
Glen of Imaal Terriers,Watchdog/Protective Nature,3
Glen of Imaal Terriers,Adaptability Level,4
Glen of Imaal Terriers,Trainability Level,3
Glen of Imaal Terriers,Energy Level,3
Glen of Imaal Terriers,Barking Level,2
Glen of Imaal Terriers,Mental Stimulation Needs,3
Setters (Irish Red and White),Affectionate With Family,5
Setters (Irish Red and White),Good With Young Children,5
Setters (Irish Red and White),Good With Other Dogs,5
Setters (Irish Red and White),Shedding Level,2
Setters (Irish Red and White),Coat Grooming Frequency,2
Setters (Irish Red and White),Drooling Level,2
Setters (Irish Red and White),Coat Type,Double
Setters (Irish Red and White),Coat Length,Medium
Setters (Irish Red and White),Openness To Strangers,5
Setters (Irish Red and White),Playfulness Level,3
Setters (Irish Red and White),Watchdog/Protective Nature,3
Setters (Irish Red and White),Adaptability Level,5
Setters (Irish Red and White),Trainability Level,5
Setters (Irish Red and White),Energy Level,5
Setters (Irish Red and White),Barking Level,3
Setters (Irish Red and White),Mental Stimulation Needs,3
Ibizan Hounds,Affectionate With Family,5
Ibizan Hounds,Good With Young Children,3
Ibizan Hounds,Good With Other Dogs,5
Ibizan Hounds,Shedding Level,2
Ibizan Hounds,Coat Grooming Frequency,1
Ibizan Hounds,Drooling Level,1
Ibizan Hounds,Coat Type,Wiry
Ibizan Hounds,Coat Length,Short
Ibizan Hounds,Openness To Strangers,3
Ibizan Hounds,Playfulness Level,4
Ibizan Hounds,Watchdog/Protective Nature,3
Ibizan Hounds,Adaptability Level,4
Ibizan Hounds,Trainability Level,3
Ibizan Hounds,Energy Level,5
Ibizan Hounds,Barking Level,3
Ibizan Hounds,Mental Stimulation Needs,5
Spaniels (Sussex),Affectionate With Family,5
Spaniels (Sussex),Good With Young Children,3
Spaniels (Sussex),Good With Other Dogs,3
Spaniels (Sussex),Shedding Level,3
Spaniels (Sussex),Coat Grooming Frequency,3
Spaniels (Sussex),Drooling Level,3
Spaniels (Sussex),Coat Type,Double
Spaniels (Sussex),Coat Length,Medium
Spaniels (Sussex),Openness To Strangers,3
Spaniels (Sussex),Playfulness Level,4
Spaniels (Sussex),Watchdog/Protective Nature,3
Spaniels (Sussex),Adaptability Level,4
Spaniels (Sussex),Trainability Level,4
Spaniels (Sussex),Energy Level,3
Spaniels (Sussex),Barking Level,3
Spaniels (Sussex),Mental Stimulation Needs,3
Bergamasco Sheepdogs,Affectionate With Family,3
Bergamasco Sheepdogs,Good With Young Children,3
Bergamasco Sheepdogs,Good With Other Dogs,3
